ticker,time,open,close,high,low,volume
VNINDEX,2025-06-02,1332.6,1336.3,1336.33,1322.95,860775405
VNINDEX,2025-06-03,1336.3,1347.25,1350.89,1336.3,1035220959
VNINDEX,2025-06-04,1347.25,1345.74,1351.14,1341.53,952672647
VNINDEX,2025-06-05,1345.74,1342.09,1347.49,1336.11,756976552
VNINDEX,2025-06-06,1342.09,1329.89,1344.92,1325.45,901235898
VNINDEX,2025-06-09,1329.89,1310.57,1331.56,1309.05,718708721
VNINDEX,2025-06-10,1310.57,1316.23,1323.61,1299.94,703372014
VNINDEX,2025-06-11,1316.23,1315.2,1322.07,1306.25,546076606
VNINDEX,2025-06-12,1315.2,1322.99,1326.03,1308.63,811549322
VNINDEX,2025-06-13,1322.99,1315.49,1326.62,1304.12,1164364579
VNINDEX,2025-06-16,1315.49,1338.11,1338.66,1307.37,779999910
VNINDEX,2025-06-17,1338.11,1347.69,1353.01,1338.11,763834636
VNINDEX,2025-06-18,1347.69,1346.83,1353.99,1341.64,768168609
VNINDEX,2025-06-19,1346.83,1352.04,1353.96,1342.08,651813682
VNINDEX,2025-06-20,1352.04,1349.35,1356.78,1342.31,779673486
VNINDEX,2025-06-23,1349.35,1358.18,1358.26,1338.49,735461142
VNINDEX,2025-06-24,1358.18,1366.77,1371.24,1355.53,883404856
VNINDEX,2025-06-25,1366.77,1366.75,1371.57,1364.09,734078816
VNINDEX,2025-06-26,1366.75,1365.67,1372.74,1360.78,599210662
VNINDEX,2025-06-27,1365.67,1371.44,1373.28,1362.09,678584222
VNINDEX,2025-06-30,1371.44,1376.07,1377.3,1371.44,637621732
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
DGC,2025-06-02,89.0,89.1,89.3,88.0,659296
DGC,2025-06-03,89.9,90.5,91.0,89.1,1426268
DGC,2025-06-04,91.1,90.1,91.9,90.0,1171038
DGC,2025-06-05,90.2,90.6,91.7,89.7,1628180
DGC,2025-06-06,90.6,89.8,90.6,89.1,1146794
DGC,2025-06-09,89.8,88.1,89.8,88.1,1106154
DGC,2025-06-10,88.2,91.3,92.2,88.2,2824364
DGC,2025-06-11,91.3,92.7,95.5,90.8,3659547
DGC,2025-06-12,92.8,92.9,93.5,92.4,1356140
DGC,2025-06-13,91.9,92.7,95.0,91.0,3256286
DGC,2025-06-16,93.1,98.0,98.0,93.1,4962123
DGC,2025-06-17,98.9,98.7,99.0,96.7,2376573
DGC,2025-06-18,98.6,97.4,99.0,96.7,2244721
DGC,2025-06-19,97.5,97.4,98.8,96.3,1733389
DGC,2025-06-20,97.2,96.8,97.2,96.0,1814443
DGC,2025-06-23,96.0,96.4,97.4,95.0,1144934
DGC,2025-06-24,97.0,96.5,97.1,96.0,2238549
DGC,2025-06-25,96.9,97.2,98.0,96.3,2036533
DGC,2025-06-26,97.3,96.7,97.8,96.5,1020656
DGC,2025-06-27,96.6,98.9,99.5,96.3,3240246
DGC,2025-06-30,100.6,101.7,102.5,100.4,2883264
DGC,2025-07-01,102.2,100.9,102.2,99.5,2445508
DGC,2025-07-02,100.9,101.8,102.0,99.7,1845098
DGC,2025-07-03,100.6,103.0,104.2,100.5,3446851
DGC,2025-07-04,102.9,102.0,103.4,101.7,1407424
DCM,2025-06-02,31.26,31.88,31.88,31.07,2832270
DCM,2025-06-03,31.97,33.1,33.29,31.97,8262986
DCM,2025-06-04,33.25,32.68,33.25,32.58,2871605
DCM,2025-06-05,32.58,32.73,32.92,32.58,2320999
DCM,2025-06-06,32.92,31.88,32.92,31.88,4351479
DCM,2025-06-09,31.74,31.55,32.02,31.55,2429832
DCM,2025-06-10,31.5,31.88,32.4,31.5,2465935
DCM,2025-06-11,32.11,31.83,32.49,31.74,1974030
DCM,2025-06-12,32.02,32.3,32.44,31.97,3083893
DCM,2025-06-13,31.92,32.21,32.96,31.83,4956247
DCM,2025-06-16,32.73,33.29,33.77,32.73,5313571
DCM,2025-06-17,33.62,34.33,34.33,33.06,9989985
DCM,2025-06-18,34.66,34.38,34.76,34.1,4624020
DCM,2025-06-19,34.66,34.57,34.95,34.19,5318217
DCM,2025-06-20,34.85,34.38,34.9,34.24,3768971
DCM,2025-06-23,34.95,34.76,35.51,34.38,6645794
DCM,2025-06-24,34.38,34.33,34.38,34.05,5710751
DCM,2025-06-25,34.14,33.91,34.33,33.77,4702860
DCM,2025-06-26,34.1,34.05,34.28,33.81,3227789
DCM,2025-06-27,34.2,33.65,34.5,33.55,4319168
DCM,2025-06-30,33.7,33.7,34.0,33.45,3732235
DCM,2025-07-01,33.75,33.45,34.05,33.4,2977544
DCM,2025-07-02,33.5,33.7,33.9,33.4,3034524
DCM,2025-07-03,33.7,33.55,33.95,33.3,3392279
DCM,2025-07-04,33.75,33.4,33.75,33.4,3475091
DPM,2025-06-02,33.35,33.45,33.65,32.95,3327952
DPM,2025-06-03,33.5,34.15,34.25,33.5,4317246
DPM,2025-06-04,34.25,33.9,34.3,33.8,2104438
DPM,2025-06-05,33.9,33.8,34.15,33.8,1851575
